집계 시기,마일리지 지급 금액(최대),차등 지급,참여 요건,콘텐츠
6 단위기간,"₩50,000",,1회 이상 서류 작성 후 제출,취업 서류 작성
4 단위기간,"₩50,000",,공가 포함 출석률 100%,출석률 100%
1~4 단위기간,"₩50,000","PCCE 25,000 → PCCP 25,000",PCCE/PCCP/PCSQL 레벨 취득,코딩테스트
3 단위기간,"₩50,000",,공가 포함 출석률 100%,출석률 100%
1~5 단위기간,"₩100,000","단위기간별 매주 작성 시 20,000",매주 작성,블로그 작성
개강 전,"₩50,000","10,000 / 30,000 / 50,000",3회/5회/10회 이상,예비수강생 공부 인증
1~2 단위기간,"₩50,000",,주 1회 이상 인증,스터디 인증
5 단위기간,"₩50,000",,공가 포함 출석률 100%,출석률 100%
개강 전,"₩50,000","10,000 / 30,000 / 50,000","60점 이상, 1회/3회/5회",프리코스 퀴즈 제출
